"dataset","region","estimand","scale","variant","method","metric","observed","bootstrap_mean","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"real_GPe","GPe","reviewed_manual_reference","observed","harmonized_4_spikes","LogISI/newBD","recall",0.997594708358388,0.997730248633256,0.99481887618367,1,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","harmonized_4_spikes","LogISI/newBD","f1",0.133806508851877,0.1349082806463,0.0337127474526739,0.279981384797639,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","article_default","Mean-ISI","precision",0.741592001038826,0.741070508673071,0.527867611249176,0.928719842476231,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","article_default","Mean-ISI","recall",0.762890729361475,0.765487814332404,0.727030176340959,0.811599511204895,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","article_default","Mean-ISI","f1",0.752090603805887,0.748904444863167,0.627414823509011,0.840235040770512,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","article_default","LogISI/newBD","precision",0.564351019770259,0.565428419844745,0.373695162768187,0.736246024418027,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","article_default","LogISI/newBD","recall",0.96473417045151,0.962580115072876,0.93060945638347,0.982236882637841,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","article_default","LogISI/newBD","f1",0.712123453138096,0.707730250594138,0.538260844159994,0.836216912943113,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","harmonized_4_spikes","Mean-ISI","precision",0.725063746812659,0.728834734536215,0.50346574570573,0.932801451055242,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","harmonized_4_spikes","Mean-ISI","recall",0.645738712262891,0.648225178190889,0.606480879018601,0.689163692132055,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","harmonized_4_spikes","Mean-ISI","f1",0.683106055253303,0.681687290466028,0.567838632505373,0.766655668145473,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","harmonized_4_spikes","LogISI/newBD","precision",0.568044119931645,0.571025588405668,0.388112249129433,0.746385041336921,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","harmonized_4_spikes","LogISI/newBD","recall",0.976890195030724,0.976303554199051,0.955029564593263,0.987841627844783,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","harmonized_4_spikes","LogISI/newBD","f1",0.718369351669941,0.715869017359474,0.553928295970803,0.846342505965548,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","article_default","Mean-ISI","precision",0.330967292971468,0.335106292436423,0.198459698236423,0.514963506905832,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","article_default","Mean-ISI","recall",0.497593638836577,0.497052997271662,0.415714010972326,0.583175993334241,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","article_default","Mean-ISI","f1",0.397525911066533,0.396898278677571,0.272356773250626,0.535177110923264,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","article_default","LogISI/newBD","precision",0.302678344757553,0.30528970505553,0.203169811093587,0.432640332329237,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","article_default","LogISI/newBD","recall",0.997907512031806,0.997988569465656,0.9955104393408,0.999697955264248,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","article_default","LogISI/newBD","f1",0.464475286096908,0.464435691712042,0.337723051578299,0.603338919260755,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","harmonized_4_spikes","Mean-ISI","precision",0.308434484905073,0.312631302431212,0.169512117269027,0.487620805480301,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","harmonized_4_spikes","Mean-ISI","recall",0.414731115296087,0.414327797748908,0.328999197915963,0.499278921766454,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","harmonized_4_spikes","Mean-ISI","f1",0.353770638107987,0.353286686749239,0.229742908298216,0.479193833243055,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","harmonized_4_spikes","LogISI/newBD","precision",0.302772666708965,0.305002225486497,0.20191085847916,0.424007223314903,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","harmonized_4_spikes","LogISI/newBD","recall",0.998535258422264,0.998554536849117,0.997306271721841,0.999546747161079,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","harmonized_4_spikes","LogISI/newBD","f1",0.464654333008763,0.464349748572572,0.33592752863455,0.595252253751226,1000,"train"
