"dataset","region","estimand","scale","method","variant","iou_threshold","train_n","cluster_n","tp","fp","fn","truth_event_n","predicted_event_n","precision","recall","f1","mean_matched_iou","fragmentation_rate","merge_rate"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","article_default",0.5,15,15,18,1,57,75,19,0.947368421052632,0.24,0.382978723404255,0.714726631393298,0,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","harmonized_4_spikes",0.1,15,15,32,6,43,75,38,0.842105263157895,0.426666666666667,0.566371681415929,0.619779265873016,0.0266666666666667,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","harmonized_4_spikes",0.25,15,15,32,6,43,75,38,0.842105263157895,0.426666666666667,0.566371681415929,0.619779265873016,0.0266666666666667,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","harmonized_4_spikes",0.5,15,15,24,14,51,75,38,0.631578947368421,0.32,0.424778761061947,0.69021164021164,0.0266666666666667,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","article_default",0.1,15,15,58,44,17,75,102,0.568627450980392,0.773333333333333,0.655367231638418,0.447762358495576,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","article_default",0.25,15,15,47,55,28,75,102,0.46078431372549,0.626666666666667,0.531073446327684,0.508914510004875,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","article_default",0.5,15,15,26,76,49,75,102,0.254901960784314,0.346666666666667,0.293785310734463,0.648240114586268,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","harmonized_4_spikes",0.1,15,15,58,26,17,75,84,0.69047619047619,0.773333333333333,0.729559748427673,0.447762358495576,0,0.178571428571429
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","harmonized_4_spikes",0.25,15,15,47,37,28,75,84,0.55952380952381,0.626666666666667,0.591194968553459,0.508914510004875,0,0.178571428571429
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","harmonized_4_spikes",0.5,15,15,26,58,49,75,84,0.30952380952381,0.346666666666667,0.327044025157233,0.648240114586268,0,0.178571428571429
