"dataset","region","estimand","scale","method","iou_threshold","metric","observed","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI",0.5,"f1",0.723391981540237,0.594488960757512,0.798004862842893,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","STPD",0.1,"precision",0.88659217877095,0.699516444873679,0.979057986023461,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","STPD",0.1,"recall",0.860162601626016,0.826390481651376,0.882985755034127,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","STPD",0.1,"f1",0.873177441540578,0.763428721695765,0.924512402933087,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","STPD",0.25,"precision",0.884916201117318,0.698652849536269,0.977623562433795,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","STPD",0.25,"recall",0.858536585365854,0.82516112214771,0.882058796640192,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","STPD",0.25,"f1",0.87152682255846,0.761604560523396,0.923378724999352,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","STPD",0.5,"precision",0.868715083798883,0.67942012305348,0.964518028823918,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","STPD",0.5,"recall",0.842818428184282,0.798390443896279,0.870538816155393,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","STPD",0.5,"f1",0.855570839064649,0.743453469981221,0.911490052604588,1000,"Group_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD",0.1,"precision",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD",0.1,"recall",0.267605633802817,0.173391891891892,0.361111111111111,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD",0.1,"f1",0.422222222222222,0.295539446185998,0.530612244897959,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD",0.25,"precision",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD",0.25,"recall",0.267605633802817,0.173391891891892,0.361111111111111,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD",0.25,"f1",0.422222222222222,0.295539446185998,0.530612244897959,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD",0.5,"precision",0.947368421052632,0.833333333333333,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD",0.5,"recall",0.253521126760563,0.161764705882353,0.342465753424658,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD",0.5,"f1",0.4,0.275927542557835,0.505488721804511,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI",0.1,"precision",0.533333333333333,0.457635038808807,0.627659574468085,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI",0.1,"recall",0.788732394366197,0.73972602739726,0.838235294117647,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI",0.1,"f1",0.636363636363636,0.579572947214076,0.697661129568106,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI",0.25,"precision",0.447619047619048,0.372907148120855,0.542553191489362,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI",0.25,"recall",0.661971830985915,0.571526418786693,0.746661971830986,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI",0.25,"f1",0.534090909090909,0.461559139784946,0.608175826306097,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI",0.5,"precision",0.257142857142857,0.222222222222222,0.290281010974393,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI",0.5,"recall",0.380281690140845,0.314305283757339,0.455882352941176,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI",0.5,"f1",0.306818181818182,0.265210934755533,0.340909090909091,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD",0.1,"precision",0.43030303030303,0.390113240418118,0.472040900035158,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD",0.1,"recall",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD",0.1,"f1",0.601694915254237,0.561268289300326,0.641342096721844,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD",0.25,"precision",0.43030303030303,0.390113240418118,0.472040900035158,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD",0.25,"recall",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD",0.25,"f1",0.601694915254237,0.561268289300326,0.641342096721844,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD",0.5,"precision",0.393939393939394,0.347305389221557,0.442307692307692,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD",0.5,"recall",0.915492957746479,0.842857142857143,0.972222222222222,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD",0.5,"f1",0.550847457627119,0.495936585365854,0.604444444444444,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD",0.1,"precision",0.573170731707317,0.5,0.66186990363232,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD",0.1,"recall",0.661971830985915,0.561687246768281,0.753840579710145,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD",0.1,"f1",0.61437908496732,0.536912751677852,0.691303803803804,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD",0.25,"precision",0.207317073170732,0.129884246188594,0.273809523809524,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD",0.25,"recall",0.23943661971831,0.138888888888889,0.342857142857143,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD",0.25,"f1",0.222222222222222,0.133355704697987,0.301869743123437,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD",0.5,"precision",0.048780487804878,0.0125,0.0851063829787234,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD",0.5,"recall",0.0563380281690141,0.0138888888888889,0.101449275362319,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD",0.5,"f1",0.0522875816993464,0.0132450331125828,0.0909090909090909,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI",0.1,"precision",0.533333333333333,0.461570247933884,0.619989130434783,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI",0.1,"recall",0.788732394366197,0.739130434782609,0.838235294117647,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI",0.1,"f1",0.636363636363636,0.582428571428571,0.697674418604651,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI",0.25,"precision",0.447619047619048,0.378665498022294,0.542489361702128,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI",0.25,"recall",0.661971830985915,0.571428571428571,0.739130434782609,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI",0.25,"f1",0.534090909090909,0.465128583733235,0.617121262458472,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI",0.5,"precision",0.257142857142857,0.225490196078431,0.29,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI",0.5,"recall",0.380281690140845,0.314305283757339,0.454413702239789,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI",0.5,"f1",0.306818181818182,0.265895953757225,0.341176470588235,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD",0.1,"precision",0.43030303030303,0.388579365079365,0.468344287568971,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD",0.1,"recall",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD",0.1,"f1",0.601694915254237,0.559679012345679,0.63792162324951,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD",0.25,"precision",0.424242424242424,0.381515879716828,0.461538461538462,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD",0.25,"recall",0.985915492957746,0.955898337595908,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD",0.25,"f1",0.593220338983051,0.550855798745496,0.629775311812179,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD",0.5,"precision",0.393939393939394,0.346392131937243,0.437086092715232,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD",0.5,"recall",0.915492957746479,0.847222222222222,0.972593226788432,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD",0.5,"f1",0.550847457627119,0.497820158631138,0.599978902953586,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD",0.1,"precision",0.65979381443299,0.596158256880734,0.728236166007905,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD",0.1,"recall",0.901408450704225,0.835871319080274,0.958333333333333,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD",0.1,"f1",0.761904761904762,0.713471177944862,0.809808647385335,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD",0.25,"precision",0.56701030927835,0.5,0.635416666666667,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD",0.25,"recall",0.774647887323944,0.642857142857143,0.892260273972603,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD",0.25,"f1",0.654761904761905,0.573101198117244,0.733313953488372,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD",0.5,"precision",0.505154639175258,0.43298969072165,0.578947368421053,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD",0.5,"recall",0.690140845070423,0.554091591591592,0.808219178082192,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD",0.5,"f1",0.583333333333333,0.491280701754386,0.666666666666667,1000,"Template_ID"
